Date,Bar Name,Brand Name,Consumed (ml)
2026-01-01,Main Bar,Brand A,2610.4453090551697
2026-01-02,Main Bar,Brand A,3449.2498664361638
2026-01-03,Main Bar,Brand A,3432.932104156161
2026-01-04,Main Bar,Brand A,2761.91087954512
2026-01-05,Main Bar,Brand A,2416.92145494894
2026-01-06,Main Bar,Brand A,3095.3949666298017
2026-01-07,Main Bar,Brand A,2499.917871179113
2026-01-08,Main Bar,Brand A,2354.3054372757847
2026-01-09,Main Bar,Brand A,3594.73318065098
2026-01-10,Main Bar,Brand A,3291.321619266702
2026-01-11,Main Bar,Brand A,2085.722380293428
2026-01-12,Main Bar,Brand A,2437.9365809264123
2026-01-13,Main Bar,Brand A,2287.2645964955746
2026-01-14,Main Bar,Brand A,2695.1558640073767
2026-01-15,Main Bar,Brand A,2214.298333564493
2026-01-16,Main Bar,Brand A,3591.161668768816
2026-01-17,Main Bar,Brand A,3066.3073023384377
2026-01-18,Main Bar,Brand A,2435.946311639784
2026-01-19,Main Bar,Brand A,2751.841348288752
2026-01-20,Main Bar,Brand A,2549.0421900364618
2026-01-21,Main Bar,Brand A,2259.7966619478275
2026-01-22,Main Bar,Brand A,2916.3119632819644
2026-01-23,Main Bar,Brand A,3583.1798499590027
2026-01-24,Main Bar,Brand A,3942.636955406632
2026-01-25,Main Bar,Brand A,2315.383550838074
2026-01-26,Main Bar,Brand A,2488.1204030217864
2026-01-27,Main Bar,Brand A,2564.392473668842
2026-01-28,Main Bar,Brand A,3091.9160093628834
2026-01-29,Main Bar,Brand A,2488.647595018264
2026-01-30,Main Bar,Brand A,3078.1244803796203
2026-01-31,Main Bar,Brand A,3760.2844598106017
2026-02-01,Main Bar,Brand A,2578.373891426583
2026-02-02,Main Bar,Brand A,2428.8385472201
2026-02-03,Main Bar,Brand A,2528.647827185901
2026-02-04,Main Bar,Brand A,1988.75456532781
2026-02-05,Main Bar,Brand A,2771.7982711819877
2026-02-06,Main Bar,Brand A,3557.5624753690363
2026-02-07,Main Bar,Brand A,3462.11536663178
2026-02-08,Main Bar,Brand A,2304.7437554524718
2026-02-09,Main Bar,Brand A,2337.5218668356874
2026-02-10,Main Bar,Brand A,2298.5087545637566
2026-02-11,Main Bar,Brand A,2240.448607287975
2026-02-12,Main Bar,Brand A,2986.3761781230764
2026-02-13,Main Bar,Brand A,3380.170737367765
2026-02-14,Main Bar,Brand A,3539.9861699519165
2026-02-15,Main Bar,Brand A,2339.5086791446884
2026-02-16,Main Bar,Brand A,2328.5528966405814
2026-02-17,Main Bar,Brand A,2774.8437591313595
2026-02-18,Main Bar,Brand A,2452.8668069478613
2026-02-19,Main Bar,Brand A,2467.471530169443
2026-02-20,Main Bar,Brand A,3871.5204565393447
2026-02-21,Main Bar,Brand A,3327.2035704980485
2026-02-22,Main Bar,Brand A,2990.3987149082973
2026-02-23,Main Bar,Brand A,2791.250158733041
2026-02-24,Main Bar,Brand A,3010.6505856187555
2026-02-25,Main Bar,Brand A,2928.9643063850544
2026-02-26,Main Bar,Brand A,2352.8189667673028
2026-02-27,Main Bar,Brand A,3434.5168633334006
2026-02-28,Main Bar,Brand A,2997.959078544159
2026-03-01,Main Bar,Brand A,2812.0764907811063
2026-03-02,Main Bar,Brand A,2489.7340514325774
2026-03-03,Main Bar,Brand A,2333.692707593483
2026-03-04,Main Bar,Brand A,2756.193611397563
2026-03-05,Main Bar,Brand A,2953.523151440525
2026-03-06,Main Bar,Brand A,2992.7626246006225
2026-03-07,Main Bar,Brand A,2805.632692728982
2026-03-08,Main Bar,Brand A,2730.6751345392254
2026-03-09,Main Bar,Brand A,2746.6195175101984
2026-03-10,Main Bar,Brand A,2003.832062041703
2026-03-11,Main Bar,Brand A,2454.7906064750005
2026-03-12,Main Bar,Brand A,2554.321437826605
2026-03-13,Main Bar,Brand A,3627.646445115951
2026-03-14,Main Bar,Brand A,3380.8931242184403
2026-03-15,Main Bar,Brand A,2357.269214954485
2026-03-16,Main Bar,Brand A,2439.504456171804
2026-03-17,Main Bar,Brand A,2495.379692026317
2026-03-18,Main Bar,Brand A,2814.127401571126
2026-03-19,Main Bar,Brand A,2110.354181766432
2026-03-20,Main Bar,Brand A,3707.482249655527
2026-03-21,Main Bar,Brand A,3578.961174881504
2026-03-22,Main Bar,Brand A,2588.893052053073
2026-03-23,Main Bar,Brand A,2324.216647264489
2026-03-24,Main Bar,Brand A,2454.4303343412976
2026-03-25,Main Bar,Brand A,2004.4256332872649
2026-03-26,Main Bar,Brand A,1747.364386809804
2026-03-27,Main Bar,Brand A,3003.406994809467
2026-03-28,Main Bar,Brand A,3591.938068780511
2026-03-29,Main Bar,Brand A,2882.6470647885417
2026-03-30,Main Bar,Brand A,2598.172409357192
2026-03-31,Main Bar,Brand A,2116.639604944344
2026-04-01,Main Bar,Brand A,2084.7724080741973
2026-04-02,Main Bar,Brand A,2583.694495523665
2026-04-03,Main Bar,Brand A,3493.754352213486
2026-04-04,Main Bar,Brand A,3086.9594480733163
2026-04-05,Main Bar,Brand A,2767.6487249012703
2026-04-06,Main Bar,Brand A,2147.6944035144274
2026-04-07,Main Bar,Brand A,2882.753130403213
2026-04-08,Main Bar,Brand A,2452.4423650798376
2026-04-09,Main Bar,Brand A,2592.1583692338218
2026-04-10,Main Bar,Brand A,3077.2977293927
2026-04-11,Main Bar,Brand A,3551.5683463658143
2026-04-12,Main Bar,Brand A,2731.412591336951
2026-04-13,Main Bar,Brand A,2154.134109054648
2026-04-14,Main Bar,Brand A,2367.910124432275
2026-04-15,Main Bar,Brand A,2654.3799814575814
2026-04-16,Main Bar,Brand A,2955.28736668314
2026-04-17,Main Bar,Brand A,3365.360105970124
2026-04-18,Main Bar,Brand A,3957.4088352337153
2026-04-19,Main Bar,Brand A,2573.399145586008
2026-04-20,Main Bar,Brand A,2685.036420035937
2026-04-21,Main Bar,Brand A,2083.321860619182
2026-04-22,Main Bar,Brand A,2103.466198419341
2026-04-23,Main Bar,Brand A,2341.5370464543685
2026-04-24,Main Bar,Brand A,3517.853629293172
2026-04-25,Main Bar,Brand A,3300.552427142794
2026-04-26,Main Bar,Brand A,2612.916387101627
2026-04-27,Main Bar,Brand A,1917.4260127300577
2026-04-28,Main Bar,Brand A,2257.8651778484154
2026-04-29,Main Bar,Brand A,2471.5144654470687
2026-04-30,Main Bar,Brand A,2474.3778362081266
2026-01-01,Main Bar,Brand B,1332.7624794264823
2026-01-02,Main Bar,Brand B,1968.916155594401
2026-01-03,Main Bar,Brand B,2194.099628287013
2026-01-04,Main Bar,Brand B,1487.2115578861444
2026-01-05,Main Bar,Brand B,1440.067166123836
2026-01-06,Main Bar,Brand B,1431.5992574439997
2026-01-07,Main Bar,Brand B,1363.9355895938454
2026-01-08,Main Bar,Brand B,1531.2171663984082
2026-01-09,Main Bar,Brand B,2028.792334840267
2026-01-10,Main Bar,Brand B,1918.5850556740384
2026-01-11,Main Bar,Brand B,1442.7579353222188
2026-01-12,Main Bar,Brand B,1422.8731203443274
2026-01-13,Main Bar,Brand B,1572.557076072387
2026-01-14,Main Bar,Brand B,1446.7419398036425
2026-01-15,Main Bar,Brand B,1570.9677070025505
2026-01-16,Main Bar,Brand B,2002.8862644165297
2026-01-17,Main Bar,Brand B,1862.6794948941688
2026-01-18,Main Bar,Brand B,1610.0524286808652
2026-01-19,Main Bar,Brand B,1225.5380139819931
2026-01-20,Main Bar,Brand B,1412.3991373860465
2026-01-21,Main Bar,Brand B,1522.9669990531852
2026-01-22,Main Bar,Brand B,1309.552963525635
2026-01-23,Main Bar,Brand B,1983.5832592525912
2026-01-24,Main Bar,Brand B,2472.812544697143
2026-01-25,Main Bar,Brand B,1430.2042674119689
2026-01-26,Main Bar,Brand B,1333.438014559173
2026-01-27,Main Bar,Brand B,1648.3073637195969
2026-01-28,Main Bar,Brand B,1366.8636780409956
2026-01-29,Main Bar,Brand B,1488.641045922872
2026-01-30,Main Bar,Brand B,2045.1737151646505
2026-01-31,Main Bar,Brand B,2052.473670212761
2026-02-01,Main Bar,Brand B,1303.9828310516018
2026-02-02,Main Bar,Brand B,1722.9853095897834
2026-02-03,Main Bar,Brand B,1469.502907830176
2026-02-04,Main Bar,Brand B,1487.3999292989013
2026-02-05,Main Bar,Brand B,1288.0827360326275
2026-02-06,Main Bar,Brand B,2226.884104761068
